,Table 1. Crop activities practiced in the community in the past 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone,State,Total number of communities,Rainfed temporary crops,,,,Irrigation farming,,,,Market gardening,,,,Permanent crops,,,,Cultivation of forest and wooded land,,,,Wild crop foraging (mainly for livestock),,,,,,,
,,,YES,,NO,,YES,,NO,,YES,,NO,,YES,,NO,,YES,,NO,,YES,,NO,,YES,,NO,
,,,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities,# of Communities Reporting,% of Total Communities
South East,Zone Total,"3,346","3,122",93.3,224,6.7,303,9.1,"3,043",90.9,"1,020",30.5,"2,326",69.5,"2,120",63.4,"1,226",36.6,475,14.2,"2,871",85.8,319,9.5,"3,027",90.5,0,0.0,"3,346",100.0
South East,Abia,522,510,97.7,12,2.3,30,5.7,492,94.3,191,36.6,331,63.4,347,66.5,175,33.5,88,16.9,434,83.1,37,7.1,485,92.9,0,0.0,522,100.0
South East,Anambra,797,718,90.1,79,9.9,113,14.2,684,85.8,206,25.8,591,74.2,482,60.5,315,39.5,53,6.6,744,93.4,89,11.2,708,88.8,0,0.0,797,100.0
South East,Ebonyi,485,480,99.0,5,1.0,39,8.0,446,92.0,278,57.3,207,42.7,449,92.6,36,7.4,173,35.7,312,64.3,62,12.8,423,87.2,0,0.0,485,100.0
South East,Enugu,671,591,88.1,80,11.9,97,14.5,574,85.5,103,15.4,568,84.6,406,60.5,265,39.5,110,16.4,561,83.6,66,9.8,605,90.2,0,0.0,671,100.0
South East,Imo,871,823,94.5,48,5.5,24,2.8,847,97.2,242,27.8,629,72.2,436,50.1,435,49.9,51,5.9,820,94.1,65,7.5,806,92.5,0,0.0,871,100.0
South South,Zone Total,"3,353","3,083",91.9,270,8.1,364,10.9,"2,989",89.1,"1,374",41.0,"1,979",59.0,"2,280",68.0,"1,073",32.0,"1,001",29.9,"2,352",70.1,425,12.7,"2,928",87.3,1,0.0,"3,352",100.0
South South,Akwa Ibom,921,882,95.8,39,4.2,184,20.0,737,80.0,433,47.0,488,53.0,765,83.1,156,16.9,395,42.9,526,57.1,150,16.3,771,83.7,0,0.0,921,100.0
South South,Bayelsa,187,167,89.3,20,10.7,12,6.4,175,93.6,70,37.4,117,62.6,114,61.0,73,39.0,42,22.5,145,77.5,10,5.3,177,94.7,0,0.0,187,100.0
South South,Cross River,551,542,98.4,9,1.6,52,9.4,499,90.6,377,68.4,174,31.6,478,86.8,73,13.2,236,42.8,315,57.2,118,21.4,433,78.6,1,0.2,550,99.8
South South,Delta,545,463,85.0,82,15.0,57,10.5,488,89.5,179,32.8,366,67.2,305,56.0,240,44.0,133,24.4,412,75.6,82,15.0,463,85.0,0,0.0,545,100.0
South South,Edo,558,515,92.3,43,7.7,16,2.9,542,97.1,120,21.5,438,78.5,310,55.6,248,44.4,58,10.4,500,89.6,31,5.6,527,94.4,0,0.0,558,100.0
South South,Rivers,591,514,87.0,77,13.0,43,7.3,548,92.7,195,33.0,396,67.0,308,52.1,283,47.9,137,23.2,454,76.8,34,5.8,557,94.2,0,0.0,591,100.0
South West,Zone Total,"4,817","3,793",78.7,"1,024",21.3,447,9.3,"4,370",90.7,"1,128",23.4,"3,689",76.6,"2,554",53.0,"2,263",47.0,788,16.4,"4,029",83.6,355,7.4,"4,462",92.6,5,0.1,"4,812",99.9
South West,Ekiti,446,435,97.5,11,2.5,49,11.0,397,89.0,148,33.2,298,66.8,322,72.2,124,27.8,170,38.1,276,61.9,25,5.6,421,94.4,0,0.0,446,100.0
South West,Lagos,746,176,23.6,570,76.4,14,1.9,732,98.1,23,3.1,723,96.9,62,8.3,684,91.7,7,0.9,739,99.1,11,1.5,735,98.5,0,0.0,746,100.0
South West,Ogun,705,662,93.9,43,6.1,84,11.9,621,88.1,178,25.2,527,74.8,337,47.8,368,52.2,107,15.2,598,84.8,75,10.6,630,89.4,0,0.0,705,100.0
South West,Ondo,638,570,89.3,68,10.7,50,7.8,588,92.2,124,19.4,514,80.6,426,66.8,212,33.2,116,18.2,522,81.8,31,4.9,607,95.1,5,0.8,633,99.2
South West,Osun,946,880,93.0,66,7.0,119,12.6,827,87.4,326,34.5,620,65.5,658,69.6,288,30.4,212,22.4,734,77.6,94,9.9,852,90.1,0,0.0,946,100.0
South West,Oyo,"1,336","1,070",80.1,266,19.9,131,9.8,"1,205",90.2,329,24.6,"1,007",75.4,749,56.1,587,43.9,176,13.2,"1,160",86.8,119,8.9,"1,217",91.1,0,0.0,"1,336",100.0
Nigeria,Total,"26,555","24,349",91.7,"2,206",8.3,"7,186",27.1,"19,369",72.9,"7,363",27.7,"19,192",72.3,"12,212",46.0,"14,343",54.0,"3,817",14.4,"22,738",85.6,"2,392",9.0,"24,163",91.0,7,0.0,"26,548",100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
